"Rank","Player","Team","Position"
"1","Paul Goldschmidt","ARI","1B"
"2","Jake Arrieta","CHC","SP"
"3","Zack Greinke","LAD","SP"
"","Bryce Harper","WSH","RF"
"5","Josh Donaldson","TOR","3B"
"","Anthony Rizzo","CHC","1B"
"7","Clayton Kershaw","LAD","SP"
"","Mike Trout","LAA","CF"
"9","Joey Votto","CIN","1B"
"10","Dallas Keuchel","HOU","SP"
"11","Andrew McCutchen","PIT","CF"
"12","David Price","TOR","SP"
"13","Jose Bautista","TOR","RF"
"14","Kris Bryant","CHC","3B"
"15","Nelson Cruz","SEA","RF"
"","Chris Davis","BAL","1B"
"17","Matt Carpenter","STL","3B"
"18","AJ Pollock","ARI","CF"
"19","Buster Posey","SF","C"
"","Eric Hosmer","KC","1B"
"21","Sonny Gray","OAK","SP"
"22","Max Scherzer","WSH","SP"
"23","Andrew Miller","NYY","RP"
"24","Edwin Encarnacion","TOR","DH"
"","Mark Melancon","PIT","RP"
"26","Lorenzo Cain","KC","CF"
"27","Gerrit Cole","PIT","SP"
"28","Jacob deGrom","NYM","SP"
"29","Curtis Granderson","NYM","RF"
"30","Madison Bumgarner","SF","SP"
"31","John Lackey","STL","SP"
"32","Adrian Gonzalez","LAD","1B"
"33","Miguel Cabrera","DET","1B"
"","Carlos Gonzalez","COL","RF"
"35","Yoenis Cespedes","NYM","CF"
"36","Nolan Arenado","COL","3B"
"37","Jeurys Familia","NYM","RP"
"38","Seth Maness","STL","RP"
"39","Matt Harvey","NYM","SP"
"40","David Ortiz","BOS","DH"
"41","Kendrys Morales","KC","DH"
"42","Chris Sale","CHW","SP"
"43","Chris Archer","TB","SP"
"44","Wade Davis","KC","RP"
"45","Dee Strange-Gordon","MIA","2B"
"46","Marco Estrada","TOR","SP"
"","Michael Brantley","CLE","LF"
"48","Trevor Rosenthal","STL","RP"
"49","Shin-Soo Choo","TEX","RF"
"","Zack Britton","BAL","RP"
"","Dellin Betances","NYY","RP"
"52","Alex Rodriguez","NYY","DH"
"53","Jaime Garcia","STL","SP"
"","Manny Machado","BAL","3B"
"","Jose Altuve","HOU","2B"
"56","Adam Eaton","CHW","CF"
"57","Jose Abreu","CHW","1B"
"58","Matt Kemp","SD","RF"
"59","Felix Hernandez","SEA","SP"
"60","Prince Fielder","TEX","DH"
"61","Aroldis Chapman","CIN","RP"
"","Craig Kimbrel","SD","RP"
"63","Shawn Tolleson","TEX","RP"
"64","David Peralta","ARI","LF"
"65","Justin Upton","SD","LF"
"","Jason Kipnis","CLE","2B"
"67","Jon Lester","CHC","SP"
"68","Carlos Martinez","STL","SP"
"69","Justin Wilson","NYY","RP"
"70","Francisco Rodriguez","MIL","RP"
"","Jason Heyward","STL","RF"
"72","Mookie Betts","BOS","CF"
"73","Kenley Jansen","LAD","RP"
"","Xander Bogaerts","BOS","SS"
"75","Brad Ziegler","ARI","RP"
"","Hector Rondon","CHC","RP"
"77","J.D. Martinez","DET","RF"
"","Jose Quintana","CHW","SP"
"79","Adam A Lind","MIL","1B"
"80","Corey Kluber","CLE","SP"
"81","Tony Watson","PIT","RP"
"82","Cole Hamels","TEX","SP"
"83","Mark Teixeira","NYY","1B"
"84","Miguel Sano","MIN","DH"
"85","Starling Marte","PIT","LF"
"","Matt Duffy","SF","3B"
"87","Robinson Cano","SEA","2B"
"","Yunel Escobar","WSH","3B"
"89","Johnny Cueto","KC","SP"
"","Brian Dozier","MIN","2B"
"91","Yovani Gallardo","TEX","SP"
"92","Ryan Braun","MIL","RF"
"93","Huston Street","LAA","RP"
"94","Lucas Duda","NYM","1B"
"95","A.J. Burnett","PIT","SP"
"","Darren O'Day","BAL","RP"
"97","Michael Wacha","STL","SP"
"98","Albert Pujols","LAA","1B"
"99","Dexter Fowler","CHC","CF"
"100","Kole Calhoun","LAA","RF"
