"Rank","Triples","HomeRuns","StolenBases","BaseOnBalls","Strikeouts","BattingAverage","OnBasePercentage","SluggingPercentage","OnBasePlusSlugging","IntentionalWalks","GamesStarted","BattingStats","DefenseStats","WinsAboveReplacement","Top100Status"
19,0,0,0,2,5,0.179,0.233,0.179,0.412,0,6,13,11,-0.4,"No"
7,5,0,34,26,41,0.267,0.31,0.309,0.619,1,105,117,106,0.9,"No"
8,6,0,40,29,54,0.294,0.333,0.342,0.675,0,118,124,121,2.8,"No"
7,3,0,22,16,36,0.305,0.338,0.352,0.691,1,79,88,87,1.5,"No"
7,7,2,49,13,49,0.306,0.325,0.361,0.686,1,132,151,141,1.1,"No"
9,6,1,24,19,36,0.298,0.334,0.374,0.709,0,84,96,91,2.4,"No"
6,1,1,7,13,28,0.319,0.354,0.381,0.734,0,56,56,56,0.6,"No"
7,7,2,14,18,34,0.217,0.26,0.3,0.56,0,80,103,87,-1,"No"
19,0,3,0,6,29,0.169,0.229,0.281,0.51,0,28,39,39,-0.1,"No"
18,0,2,0,11,19,0.118,0.241,0.221,0.461,0,24,32,31,-0.2,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,8,0,"No"
41,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,4,-0.3,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,8,0.1,"No"
29,0,0,0,1,6,0,0.071,0,0.071,0,9,9,9,0.2,"No"
25,0,0,0,2,24,0.075,0.101,0.104,0.206,0,31,30,31,3.9,"55"
30,0,0,0,0,2,0.333,0.333,0.333,0.667,0,20,2,20,0.2,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,14,-0.1,"No"
34,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,6,0,"No"
3,3,18,6,96,82,0.272,0.386,0.446,0.831,6,142,147,146,3.4,"84"
3,3,12,2,54,71,0.232,0.318,0.375,0.693,2,105,128,118,0.1,"No"
9,3,9,3,55,60,0.305,0.378,0.44,0.817,1,108,139,125,3.5,"94"
13,0,1,0,23,24,0.26,0.358,0.313,0.671,0,38,47,44,-0.3,"No"
10,1,7,2,29,30,0.284,0.364,0.453,0.816,1,58,59,57,1.2,"No"
10,2,6,1,33,26,0.268,0.354,0.447,0.801,2,63,67,60,1.3,"No"
12,2,12,3,25,37,0.253,0.339,0.505,0.844,1,49,62,57,0.9,"No"
3,7,27,17,91,104,0.297,0.405,0.543,0.948,4,135,152,149,8.6,"19"
8,2,10,24,92,107,0.238,0.346,0.353,0.699,1,144,151,149,4.6,"No"
3,6,20,19,77,128,0.269,0.353,0.469,0.822,1,154,156,154,7.6,"62"
3,7,20,14,97,103,0.27,0.377,0.471,0.848,7,156,157,153,5.8,"32"
3,3,12,11,72,91,0.275,0.354,0.402,0.756,4,156,157,155,5.2,"47"
3,3,10,10,75,84,0.272,0.354,0.395,0.749,4,144,146,137,4.4,"No"
1,0,16,0,19,38,0.292,0.322,0.445,0.767,5,133,145,136,1.9,"No"
1,1,20,0,13,68,0.265,0.285,0.442,0.727,3,121,132,123,-0.5,"No"
11,0,3,0,14,19,0.257,0.312,0.332,0.644,4,56,61,58,0.1,"No"
11,1,2,0,10,15,0.24,0.279,0.32,0.599,0,51,57,55,-0.8,"No"
28,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,25,-1,"No"
24,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,5,0.2,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,2,-0.1,"No"
30,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,2,-0.1,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,1,0,"No"
48,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,58,63,1,"No"
44,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,35,35,0.2,"No"
42,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,74,79,0.9,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,14,14,0,"No"
25,0,1,0,5,7,0.222,0.5,0.556,1.056,1,3,7,2,0,"No"
10,1,18,9,34,104,0.247,0.316,0.456,0.772,0,96,119,115,1.8,"No"
19,2,2,1,8,55,0.224,0.272,0.34,0.612,1,40,46,41,-1,"No"
5,1,15,5,37,124,0.225,0.293,0.396,0.689,2,101,128,118,0.1,"No"
10,0,6,1,19,72,0.201,0.265,0.341,0.606,0,54,76,72,-0.6,"No"
16,1,2,1,8,48,0.2,0.244,0.333,0.578,0,32,34,33,-0.1,"No"
23,0,0,2,3,8,0.158,0.22,0.211,0.43,0,8,16,11,-0.4,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,8,0.2,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,8,-0.4,"No"
32,0,0,0,0,0,0,0,0,0,0,0,10,10,0.2,"No"
28,0,0,0,0,8,0.238,0.238,0.333,0.571,0,13,14,16,-0.8,"No"
30,0,0,0,1,0,0.25,0.4,0.25,0.65,0,3,3,3,-0.6,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,2,1,7,0.1,"No"
42,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.1,"No"
18,0,0,3,0,7,0.243,0.275,0.243,0.518,0,8,24,17,-0.5,"No"
19,0,0,0,0,1,0.167,0.167,0.167,0.333,0,0,7,5,-0.2,"No"
22,0,0,3,0,0,0.167,0.167,0.167,0.333,0,1,13,1,-0.1,"No"
7,9,5,26,26,81,0.294,0.334,0.392,0.726,1,118,125,125,3.2,"No"
7,4,0,14,10,30,0.234,0.27,0.303,0.573,2,67,73,70,-0.4,"No"
9,0,11,0,33,57,0.275,0.324,0.4,0.724,0,115,124,34,-0.4,"No"
2,1,21,1,58,103,0.301,0.362,0.492,0.853,3,154,159,145,2.3,"94"
2,0,15,0,69,78,0.318,0.388,0.469,0.857,8,157,158,127,3.2,"49"
9,0,19,2,66,95,0.291,0.361,0.461,0.822,15,153,159,11,2.2,"87"
9,1,29,2,54,111,0.313,0.373,0.51,0.882,9,158,161,20,3,"25"
9,0,15,0,79,102,0.289,0.374,0.412,0.787,11,157,162,7,1.5,"100"
9,0,9,0,41,96,0.271,0.323,0.379,0.702,3,143,151,37,-0.1,"No"
18,0,1,0,2,8,0.345,0.375,0.517,0.892,0,8,12,3,0,"No"
9,1,15,0,52,101,0.251,0.323,0.39,0.713,4,143,151,7,-0.6,"No"
9,0,4,0,19,34,0.276,0.331,0.403,0.733,1,59,85,22,0,"No"
17,0,0,4,7,13,0.268,0.375,0.317,0.692,1,9,26,24,-0.2,"No"
17,0,1,3,1,4,0.3,0.364,0.6,0.964,0,1,14,12,0.2,"No"
18,3,2,9,4,47,0.22,0.242,0.378,0.62,0,28,71,67,0.3,"No"
24,0,0,2,0,1,0,0,0,0,0,0,3,1,0,"No"
17,0,0,13,2,4,0.368,0.429,0.474,0.902,0,3,13,7,0.7,"No"
7,8,6,56,34,117,0.25,0.292,0.355,0.648,0,136,152,144,2.5,"No"
7,3,4,57,28,75,0.226,0.274,0.289,0.563,0,109,114,110,1.1,"No"
7,3,3,58,36,93,0.26,0.321,0.343,0.664,0,108,119,115,3.1,"No"
7,11,4,59,44,133,0.247,0.299,0.335,0.634,0,135,139,137,1.3,"No"
7,9,4,34,46,132,0.236,0.299,0.327,0.626,0,138,153,150,0.7,"No"
7,2,0,18,25,74,0.211,0.275,0.269,0.544,0,80,93,90,0.6,"No"
24,0,0,7,1,8,0.077,0.143,0.077,0.22,0,4,20,13,0,"No"
24,0,0,3,1,4,0,0.125,0,0.125,0,2,17,7,-0.1,"No"
17,0,0,3,1,3,0.045,0.083,0.045,0.129,0,5,17,13,-0.1,"No"
15,1,1,0,14,24,0.146,0.276,0.232,0.507,1,21,37,24,-0.3,"No"
17,1,3,1,7,24,0.207,0.26,0.359,0.619,1,19,40,26,0,"No"
15,1,5,1,11,31,0.22,0.304,0.473,0.776,0,24,39,30,0.3,"No"
23,0,0,0,0,1,0.25,0.25,0.25,0.5,0,2,2,2,-0.1,"No"
15,1,6,1,17,39,0.227,0.32,0.406,0.726,1,38,48,41,0.2,"No"
22,0,1,0,4,16,0.096,0.158,0.173,0.331,1,15,23,19,-0.8,"No"
14,0,6,1,11,32,0.252,0.32,0.47,0.79,0,31,36,34,0.2,"No"
12,1,12,0,19,73,0.215,0.274,0.422,0.696,0,65,84,73,0.3,"No"
21,0,0,0,0,0,0.667,0.667,0.667,1.333,0,1,2,1,0.1,"No"
36,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.1,"No"
42,0,0,0,0,1,0,0,0,0,0,0,30,33,0.5,"No"
50,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,1,-0.3,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,19,-0.2,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,70,71,2.5,"64"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,15,0.3,"No"
44,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,42,45,1,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,2,0.1,"No"
32,0,0,0,0,3,0,0,0,0,0,0,29,30,0.1,"No"
34,0,0,0,0,1,0,0,0,0,0,0,51,54,-0.2,"No"
35,0,0,0,0,1,0,0,0,0,0,0,72,76,-1.2,"No"
41,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,3,-0.5,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,32,0.2,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,21,-1.7,"No"
35,0,0,0,0,0,0,0,0,0,0,0,57,61,0.5,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,7,68,1.3,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,5,-0.4,"No"
47,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,30,32,0.2,"No"
36,0,0,0,0,1,0,0,0,0,0,0,15,15,-0.2,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,38,1,"No"
28,0,0,0,0,0,0,0,0,0,0,0,4,70,1,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,21,0.4,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,35,-0.2,"No"
47,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,13,3,30,2.1,"No"
48,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,39,0.6,"No"
60,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,1,-0.4,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,1,0,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,15,0,15,0.7,"No"
25,0,0,0,0,1,0,0,0,0,0,26,1,26,1.4,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,2,0,12,-0.5,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,1,0,1,0,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,5,0,"No"
18,1,1,1,6,13,0.254,0.323,0.39,0.713,0,16,25,21,0.2,"No"
22,0,0,0,0,0,0.333,0.333,0.667,1,0,0,4,1,0,"No"
13,1,4,1,17,37,0.25,0.314,0.375,0.689,4,47,53,49,0,"No"
10,4,5,1,12,31,0.265,0.305,0.413,0.718,1,40,121,53,0.1,"No"
22,0,0,0,0,2,0.138,0.133,0.172,0.306,0,5,18,5,-0.4,"No"
5,2,9,3,45,68,0.264,0.344,0.383,0.728,9,101,117,113,1.6,"No"
14,0,2,0,3,7,0.204,0.245,0.388,0.633,0,6,31,17,0,"No"
3,4,1,2,30,49,0.27,0.352,0.371,0.723,4,76,82,78,0.5,"No"
41,0,0,0,0,1,0,0,0,0,0,0,47,49,-0.4,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,28,30,1,"No"
31,0,0,0,0,9,0,0,0,0,0,8,44,45,-1.2,"No"
23,0,0,0,0,3,0.154,0.154,0.231,0.385,0,1,10,4,-0.2,"No"
24,0,0,0,1,3,0.133,0.188,0.133,0.321,0,3,6,6,-0.3,"No"
18,0,0,0,0,7,0.125,0.125,0.125,0.25,0,3,16,6,-0.5,"No"
50,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,7,7,-0.3,"No"
54,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,45,49,0.7,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,17,18,-0.1,"No"
47,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,47,0.9,"No"
54,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,71,1.7,"No"
57,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,67,1.3,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,37,0.3,"No"
50,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,16,0,"No"
41,0,0,0,0,1,0,0,0,0,0,2,22,23,-0.1,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,1,1,14,0.6,"No"
51,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,1,0.1,"No"
16,0,4,5,23,46,0.217,0.325,0.35,0.675,0,41,67,61,1.2,"No"
20,0,0,0,1,10,0.171,0.194,0.171,0.366,0,11,16,15,-0.2,"No"
12,0,13,4,24,117,0.235,0.301,0.394,0.695,0,86,110,94,0.2,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,5,0,"No"
25,0,0,0,0,17,0.118,0.118,0.118,0.235,0,27,25,27,1.3,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,24,0,24,2.2,"No"
48,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,32,0,32,6.2,"11"
28,0,0,0,1,1,0,0.333,0,0.333,0,19,1,19,0.9,"No"
26,0,0,0,1,1,0,0.167,0,0.167,0,24,3,24,1.3,"No"
29,0,0,0,1,1,0,0.667,0,0.667,0,31,1,31,7.2,"16"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,23,1,23,1.4,"No"
36,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,11,0,11,1,"No"
16,0,3,0,4,29,0.136,0.186,0.273,0.458,0,11,31,19,-0.9,"No"
1,1,5,4,18,77,0.274,0.319,0.392,0.712,0,78,84,83,0.4,"No"
15,3,0,0,11,17,0.258,0.365,0.355,0.72,0,19,19,19,0.3,"No"
22,0,0,0,2,3,0.2,0.429,0.2,0.629,0,0,6,4,0,"No"
12,0,3,6,15,57,0.229,0.285,0.328,0.613,0,41,82,60,0,"No"
18,0,1,0,2,7,0.231,0.31,0.385,0.695,0,6,12,10,0,"No"
19,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,22,0.7,"No"
29,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,51,0.3,"No"
25,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,19,0,"No"
20,0,1,1,3,9,0.226,0.306,0.355,0.66,0,9,20,16,-0.2,"No"
24,1,0,2,4,21,0.176,0.263,0.265,0.528,0,7,19,11,-0.6,"No"
20,0,0,1,0,4,0.133,0.133,0.133,0.267,0,2,11,4,-0.2,"No"
22,0,0,0,0,4,0.214,0.214,0.214,0.429,0,2,11,9,0,"No"
25,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,27,-0.2,"No"
57,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,70,72,2.5,"No"
35,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,5,0.2,"No"
41,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,35,1.4,"No"
42,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,68,4.4,"38"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,57,-0.2,"No"
28,0,0,0,1,8,0.083,0.154,0.083,0.237,0,7,15,15,0.9,"No"
29,0,0,0,0,1,0,0,0,0,0,0,57,60,0.2,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,69,73,2,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,35,37,-0.2,"No"
39,0,0,0,0,2,0,0,0,0,0,0,67,70,0.5,"No"
42,0,0,0,0,1,0,0,0,0,0,0,52,55,-0.7,"No"
47,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,2,0,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,7,-0.1,"No"
42,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,51,0.1,"No"
29,0,0,0,0,1,0,0,0,0,0,0,4,55,0.8,"No"
50,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,17,0,"No"
51,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,13,0.4,"No"
17,0,0,0,4,7,0.154,0.267,0.192,0.459,0,6,12,4,-0.3,"No"
18,0,1,2,10,31,0.177,0.244,0.265,0.509,0,32,39,32,-1,"No"
13,0,11,4,14,50,0.311,0.358,0.571,0.93,0,46,46,42,2.4,"No"
4,1,5,4,5,27,0.301,0.328,0.512,0.84,1,29,29,26,1.1,"No"
4,1,29,25,40,137,0.298,0.343,0.484,0.828,0,159,159,148,5.8,"11"
4,1,24,13,41,155,0.29,0.333,0.469,0.802,0,158,159,157,3.7,"22"
4,3,20,5,27,115,0.306,0.339,0.475,0.814,0,134,135,130,4.9,"88"
25,0,0,0,0,5,0,0,0,0,0,1,5,4,-0.2,"No"
1,0,11,5,30,53,0.237,0.339,0.47,0.809,1,55,67,67,1.5,"No"
41,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.3,"No"
41,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,31,0.3,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,16,-0.1,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,14,14,-0.8,"No"
31,0,0,0,0,1,0,0,0,0,0,0,69,72,-0.1,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,22,24,-0.7,"No"
32,0,0,0,0,1,0,0,0,0,0,0,61,63,0.9,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,8,-0.5,"No"
48,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,7,-0.9,"No"
8,3,15,30,94,113,0.293,0.39,0.435,0.825,7,150,152,136,3.2,"43"
8,1,20,24,87,132,0.255,0.352,0.435,0.787,3,151,154,134,1.9,"No"
9,1,8,21,78,113,0.253,0.353,0.365,0.717,5,135,142,28,1.6,"No"
15,0,0,0,2,5,0.208,0.259,0.333,0.593,0,7,8,7,-0.2,"No"
13,1,3,6,35,51,0.246,0.361,0.344,0.704,3,47,92,47,-0.3,"No"
14,0,1,1,20,21,0.248,0.342,0.338,0.68,0,29,78,31,-0.5,"No"
8,4,20,22,73,109,0.296,0.371,0.471,0.843,2,152,156,150,2.7,"73"
19,0,1,0,4,20,0.178,0.245,0.356,0.6,0,13,15,5,-0.3,"No"
2,0,16,0,25,99,0.208,0.294,0.445,0.739,1,70,74,68,0.4,"No"
21,0,0,0,0,9,0.118,0.118,0.118,0.235,0,5,8,7,-0.4,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,16,0,"No"
36,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,30,0.7,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,4,-0.3,"No"
36,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,4,0,4,0.5,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,5,0.4,"No"
19,0,0,0,1,5,0.167,0.214,0.333,0.548,0,2,9,3,-0.2,"No"
4,1,7,7,47,96,0.237,0.296,0.349,0.645,0,144,145,145,1,"No"
10,2,6,2,24,44,0.223,0.295,0.357,0.652,0,63,97,90,-1.1,"No"
13,0,1,0,16,33,0.224,0.301,0.295,0.595,2,41,61,48,-1.2,"No"
11,0,8,0,10,39,0.263,0.359,0.6,0.959,0,23,23,22,0.6,"No"
2,5,25,2,28,156,0.24,0.298,0.494,0.792,1,115,133,130,0.3,"No"
2,2,12,3,29,118,0.215,0.283,0.369,0.652,0,80,117,111,-0.7,"No"
21,0,1,1,4,28,0.204,0.264,0.306,0.57,0,15,21,18,-0.2,"No"
32,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,18,-0.4,"No"
29,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,57,2.5,"No"
31,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,52,0.9,"No"
28,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,55,0.3,"No"
25,0,0,0,1,0,0.194117349256831,1,0.297272473550983,0.546554098786266,0,0,1,37,0.3,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,5,-0.4,"No"
27,0,0,0,0,0,1,1,1,2,0,0,2,16,0.2,"No"
54,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,1,-0.1,"No"
55,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,2,-0.1,"No"
41,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,6,6,0.1,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,11,11,0.3,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,10,-0.2,"No"
44,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,22,0,22,2.1,"No"
29,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,6,-0.1,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,6,6,0,"No"
38,0,0,0,0,3,0.125,0.125,0.125,0.25,0,8,65,68,-0.8,"No"
40,0,0,0,0,0,0,0,0,0,0,0,41,41,0.4,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,57,60,0.1,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,70,74,1.3,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,46,49,0.8,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,1,-0.1,"No"
42,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,28,30,-0.9,"No"
33,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,20,0.5,"No"
33,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,1,1,13,-0.2,"No"
16,2,3,0,11,32,0.242,0.312,0.411,0.723,1,30,51,38,-0.2,"No"
21,0,0,1,7,5,0.308,0.55,0.308,0.858,0,3,10,7,0.2,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,60,0.7,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,67,0.4,"No"
32,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,3,-0.2,"No"
54,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,6,7,-0.3,"No"
44,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,7,0,"No"
27,0,0,0,0,0,0.25,0.25,0.25,0.5,0,1,2,2,0,"No"
19,0,0,0,1,3,0.154,0.2,0.154,0.354,0,4,5,5,-0.1,"No"
21,0,0,0,2,11,0.091,0.13,0.114,0.244,0,15,15,15,-0.7,"No"
21,0,0,0,1,3,0.167,0.286,0.167,0.452,0,0,7,7,0,"No"
20,0,0,0,0,1,0.2,0.2,0.4,0.6,0,0,12,12,0,"No"
16,0,4,0,8,23,0.229,0.288,0.417,0.705,0,29,40,39,0.5,"No"
13,0,1,0,10,16,0.189,0.252,0.288,0.54,1,36,57,53,0,"No"
12,0,3,0,15,33,0.211,0.277,0.292,0.569,0,58,75,74,0.8,"No"
14,0,2,0,12,37,0.178,0.242,0.281,0.523,0,45,47,47,0.3,"No"
22,0,0,0,4,20,0.145,0.203,0.145,0.349,0,16,25,24,-0.3,"No"
17,0,4,0,5,28,0.23,0.272,0.391,0.663,0,28,28,28,0,"No"
17,0,1,0,7,19,0.221,0.291,0.325,0.615,0,25,31,31,0.1,"No"
