"Rank","Triples","HomeRuns","StolenBases","BaseOnBalls","Strikeouts","BattingAverage","OnBasePercentage","SluggingPercentage","OnBasePlusSlugging","IntentionalWalks","GamesStarted","BattingStats","DefenseStats","WinsAboveReplacement","Top100Status"
36,0,0,0,0,1,0,0,0,0,0,0,32,36,0.7,"No"
33,0,0,0,1,0,0,0.5,0,0.5,0,0,30,32,0.9,"No"
18,0,1,0,2,15,0.129,0.2,0.258,0.458,0,5,26,20,-0.3,"No"
23,0,0,0,0,2,0,0,0,0,0,1,2,1,0,"No"
15,4,5,6,16,41,0.241,0.338,0.489,0.827,0,35,39,37,1.8,"No"
11,0,4,7,23,69,0.197,0.3,0.288,0.587,2,54,57,57,-0.2,"No"
6,5,19,5,32,104,0.272,0.34,0.516,0.856,2,92,107,106,1.7,"No"
9,1,8,3,36,91,0.181,0.295,0.333,0.628,0,57,105,79,-1,"No"
20,0,0,0,1,9,0.034,0.067,0.069,0.136,0,3,22,12,-0.5,"No"
25.5502963590178,0.535901778154107,3.43911939034716,1.78382726502964,10.0093564775614,24.8505927180356,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0.609060118543607,0,1,0,0.651610445676556,"No"
34,0,0,0,1,2,0,0.333,0,0.333,0,4,12,13,-0.3,"No"
30,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,19,0,27,-0.5,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,46,50,0.4,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,37,40,0,"No"
50,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,3,-0.2,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,2,0,"No"
25,0,0,0,1,4,0.364,0.417,0.545,0.962,0,3,5,5,0,"No"
29,0,0,0,0,9,0.048,0.048,0.048,0.095,0,15,15,15,-1.9,"No"
35,0,0,0,1,0,1,1,1,2,0,1,1,1,-0.1,"No"
19,0,0,0,0,2,0,0.071,0,0.071,0,2,10,3,-0.3,"No"
2,1,6,0,18,52,0.241,0.299,0.384,0.683,1,49,104,64,-0.6,"No"
26,0,0,0,0,1,0,0,0,0,0,12,2,14,-0.1,"No"
44,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,1,0,2,-0.5,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,2,0,"No"
29,0,0,0,0,0,0,0,0,0,0,9,1,11,-1,"No"
53,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,3,0.1,"No"
49,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,6,0,15,0.2,"No"
51,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,5,-0.2,"No"
32,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,30,0.2,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,37,-0.1,"No"
35,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,7,58,2.8,"No"
27,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,9,0.4,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,62,0.5,"No"
30,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,32,0.6,"No"
30,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,61,-0.9,"No"
29,0,0,0,0,1,0,0,0,0,0,10,1,10,1.5,"No"
31,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,12,0,12,0.2,"No"
28,0,0,0,1,1,0,0.5,0,0.5,0,21,1,21,2.1,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,20,0,20,-0.9,"No"
36,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,13,0,13,2.7,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,10,0,10,-0.1,"No"
50,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,18,0,18,-1.4,"No"
24,0,0,0,2,21,0.233,0.258,0.25,0.508,0,32,35,32,4.5,"87"
25,0,0,0,7,14,0.114,0.245,0.136,0.382,0,27,26,27,3.1,"No"
23,0,0,0,0,17,0.15,0.15,0.2,0.35,0,23,25,23,0.1,"No"
30,0,0,0,0,11,0.147,0.147,0.147,0.294,0,17,22,18,-0.7,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,57,1.7,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,73,1,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,57,0.4,"No"
