"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Brian Anderson","24","us US","R","R","6' 2""","215","May 19, 1993","1st","25","21","25","25","0","0","0","0","25","0","0","0","0","0","0","3","0","-0.3","",""
"Mike Aviles","36","us US","R","R","5' 10""","205","Mar 13, 1981","10","37","20","37","28","0","0","2","6","6","15","0","0","1","1","0","13","0","-0.3","$535,000",""
"Kyle Barraclough","27","us US","R","R","6' 3""","229","May 23, 1990","3","66","0","62","66","66","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$536,500",""
"Justin Bour","29","us US","L","R","6' 4""","270","May 28, 1988","4","108","101","108","102","0","0","102","0","0","0","0","0","0","0","1","6","1","2.5","$552,500",""
"Hunter Cervenka","27","us US","L","L","6' 1""","250","Jan 3, 1990","2","5","0","4","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Wei-Yin Chen","31","tw TW","L","L","6' 0""","200","Jul 21, 1985","6","9","5","8","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$15,500,000",""
"Christian Colón","28","pr PR","R","R","5' 10""","215","May 14, 1989","4","17","10","17","14","0","0","0","4","10","0","0","0","0","0","0","2","1","-0.1","",""
"Adam Conley","27","us US","L","L","6' 3""","209","May 24, 1990","3","22","20","20","22","22","0","0","0","0","0","0","0","0","0","0","0","0","-1.4","$537,500",""
"Odrisamer Despaigne","30","cu CU","R","R","6' 0""","200","Apr 4, 1987","4","18","8","18","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$535,000",""
"Derek Dietrich","27","us US","L","R","6' 2""","205","Jul 18, 1989","5","135","105","135","122","0","0","10","10","103","0","5","0","0","5","0","19","0","1.2","$1,700,000",""
"Brian Ellington","26","us US","R","R","6' 3""","215","Aug 4, 1990","3","42","0","40","42","42","0","0","0","0","0","0","0","0","0","0","0","0","-1.2","",""
"A.J. Ellis","36","us US","R","R","6' 2""","225","Apr 9, 1981","10","51","36","51","39","0","39","0","0","0","0","0","0","0","0","0","12","0","0.6","$2,500,000",""
"Jarlín García","24","do DO","L","L","6' 3""","240","Jan 18, 1993","1st","68","0","64","68","68","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Javy Guerra","31","us US","R","R","6' 1""","215","Oct 31, 1985","7","16","0","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Adeiny Hechavarría","28","cu CU","R","R","6' 0""","195","Apr 15, 1989","6","20","17","20","19","0","0","0","0","0","19","0","0","0","0","0","1","0","0.2","",""
"Tom Koehler","31","us US","R","R","6' 2""","235","Jun 29, 1986","6","12","12","11","12","12","0","0","0","0","0","0","0","0","0","0","0","0","-1.7","$5,750,000",""
"Jeff Locke","29","us US","L","L","6' 0""","200","Nov 20, 1987","7","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-1.0","$3,025,000",""
"Steve Lombardozzi","28","us US","B","R","5' 11""","195","Sep 20, 1988","6","2","2","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","-0.2","",""
"Dustin McGowan","35","us US","R","R","6' 3""","235","Mar 24, 1982","10","63","0","61","63","63","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$1,750,000",""
"Tyler Moore","30","us US","R","R","6' 2""","220","Jan 30, 1987","5","104","36","104","55","0","0","45","0","0","0","7","0","6","13","0","55","2","-0.2","$1,000,000",""
"Justin Nicolino","25","us US","L","L","6' 3""","195","Nov 22, 1991","3","20","8","20","20","20","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
