"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Burke Badenhop","27","us US","R","R","6' 5""","205","Feb 8, 1983","3","53","0","53","53","53","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$407,500",""
"John Baker","29","us US","L","R","6' 1""","215","Jan 20, 1981","3","23","20","23","21","0","21","0","0","0","0","0","0","0","0","0","3","0","-0.3","$415,000",""
"Brian Barden","29","us US","R","R","5' 11""","190","Apr 2, 1981","4","35","4","35","25","0","0","0","2","16","7","0","0","0","0","0","7","9","-0.2","$415,000",""
"Emilio Bonifácio","25","do DO","B","R","5' 10""","200","Apr 23, 1985","4","73","37","73","47","0","0","0","5","6","9","7","17","6","29","0","23","7","1.1","$420,000",""
"Jay Buente","26","us US","R","R","6' 2""","185","Sep 28, 1983","1st","8","0","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Jorge Cantú","28","us US","R","R","6' 3""","205","Jan 30, 1982","7","97","97","97","88","0","0","40","0","81","0","0","0","0","0","9","0","0","-1.0","$6,000,000",""
"Brett Carroll","27","us US","R","R","5' 11""","210","Oct 3, 1982","4","32","20","32","25","0","0","0","0","0","0","7","0","20","25","0","8","1","0.0","$403,500",""
"José Ceda","23","do DO","R","R","6' 5""","280","Jan 28, 1987","1st","8","0","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Steve Cishek","24","us US","R","R","6' 6""","220","Jun 18, 1986","1st","3","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Chris Coghlan","25","us US","L","R","6' 0""","195","Jun 18, 1985","2","91","87","91","90","0","0","0","0","0","0","90","0","0","90","0","2","0","1.1","$475,000",""
"Scott Cousins","25","us US","L","L","6' 1""","200","Jan 22, 1985","1st","27","4","27","11","0","0","0","0","0","0","0","8","3","11","0","17","1","0.4","",""
"Brad Davis","27","us US","R","R","6' 1""","190","Dec 29, 1982","1st","33","32","33","32","0","32","0","0","0","0","0","0","0","0","0","1","0","0.4","",""
"Chris Hatcher","25","us US","B","R","6' 1""","200","Jan 12, 1985","1st","5","2","5","4","0","4","0","0","0","0","0","0","0","0","0","1","0","0.0","",""
"Brett Hayes","26","us US","R","R","6' 1""","210","Feb 13, 1984","2","26","21","26","24","0","24","0","0","0","0","0","0","0","0","0","1","2","0.0","",""
"Wes Helms","34","us US","R","R","6' 4""","230","May 12, 1976","12","127","52","127","92","0","0","2","0","90","0","0","0","0","0","0","48","0","-0.9","$950,000",""
"Clay Hensley","30","us US","R","R","5' 11""","190","Aug 31, 1979","5","68","0","66","68","68","0","0","0","0","0","0","0","0","0","0","0","0","2.5","$425,000",""
"James Houser","25","us US","L","L","6' 4""","205","Dec 15, 1984","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Josh Johnson","26","us US","L","R","6' 7""","250","Jan 31, 1984","6","28","28","27","28","28","0","0","0","0","0","0","0","0","0","0","0","0","6.6","$3,750,000","All-Star"
"Hunter Jones","26","us US","L","L","6' 4""","250","Jan 10, 1984","2","3","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Mike Lamb","34","us US","L","R","6' 1""","205","Aug 9, 1975","10","39","1","39","1","0","0","1","0","0","0","0","0","0","0","0","38","0","-0.4","$500,000",""
"Chris Leroux","26","ca CA","L","R","6' 6""","225","Apr 14, 1984","2","17","0","17","17","17","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Héctor Luna","30","do DO","R","R","6' 1""","190","Feb 1, 1980","6","27","2","27","5","0","0","0","1","4","0","0","0","0","0","0","22","2","-0.5","",""
"Jhan Mariñez","21","do DO","R","R","6' 1""","200","Aug 12, 1988","1st","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Osvaldo Martínez","22","pr PR","R","R","5' 10""","200","May 7, 1988","1st","14","10","14","11","0","0","0","0","0","11","0","0","0","0","0","4","0","0.2","",""
"Cameron Maybin","23","us US","R","R","6' 3""","215","Apr 4, 1987","4","82","74","82","77","0","0","0","0","0","0","0","77","0","77","0","8","0","1.2","$405,000",""
"Adalberto Méndez","28","do DO","R","R","6' 2""","160","Feb 22, 1982","1st","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Dan Meyer","28","us US","R","L","6' 2""","225","Jul 3, 1981","5","13","0","11","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","$415,000",""
"Andrew Miller","25","us US","L","L","6' 7""","200","May 21, 1985","5","9","7","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-1.3","$1,790,219",""
"Logan Morrison","22","us US","L","L","6' 3""","245","Aug 25, 1987","1st","62","62","62","62","0","0","0","0","0","0","62","0","0","62","0","0","0","1.1","",""
"Donnie Murphy","27","us US","R","R","5' 10""","190","Mar 10, 1983","5","29","5","29","9","0","0","0","1","4","4","0","0","0","0","0","21","1","0.7","",""
"Ricky Nolasco","27","us US","R","R","6' 2""","235","Dec 13, 1982","5","26","26","23","26","26","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$3,800,000",""
"Will Ohman","32","de DE","L","L","6' 2""","225","Aug 13, 1977","8","17","0","17","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Juan Carlos Oviedo","28","do DO","R","R","6' 2""","195","Mar 15, 1982","6","68","0","64","68","68","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$2,000,000",""
"Ronny Paulino","29","do DO","R","R","6' 3""","250","Apr 21, 1981","6","91","84","91","85","0","85","0","0","0","0","0","0","0","0","0","7","0","0.9","$1,100,000",""
"Bryan Petersen","24","us US","L","R","6' 0""","200","Apr 9, 1986","1st","23","1","23","6","0","0","0","0","0","0","5","0","1","6","1","19","0","-0.4","",""
"Renyel Pinto","27","ve VE","L","L","6' 4""","280","Jul 8, 1982","5","20","0","19","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$1,075,000",""
"Hanley Ramírez","26","do DO","R","R","6' 2""","235","Dec 23, 1983","6","142","140","142","140","0","0","0","0","0","140","0","0","0","0","0","1","1","2.8","$7,000,000","All-Star"
