"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Matt Magill","30","us US","R","R","6' 3""","210","Nov 10, 1989","5","11","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",NA
"Nick Margevicius","24","us US","L","L","6' 5""","225","Jun 18, 1996","2","10","7","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",NA
"José Marmolejos","27","us US","L","L","6' 2""","239","Jan 2, 1993","1st","35","30","35","24","0","0","5","0","0","0","18","0","2","19","10","3","0","-0.2","",NA
"Anthony Misiewicz","25","us US","R","L","6' 1""","196","Nov 1, 1994","1st","21","0","0","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",NA
"Dylan Moore","27","us US","R","R","6' 0""","205","Aug 2, 1992","2","38","36","38","38","0","0","3","10","2","3","13","1","13","24","0","0","1","1.7","",NA
"Ljay Newsome","23","us US","R","R","5' 11""","210","Nov 8, 1996","1st","5","4","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",NA
"Austin Nola","30","us US","R","R","6' 0""","197","Dec 28, 1989","2","29","26","29","29","0","27","2","0","1","0","0","0","0","0","1","3","0","0.9","",NA
"Joseph Odom","28","us US","R","R","6' 2""","215","Jan 9, 1992","1st","18","15","18","18","0","18","0","0","0","0","0","0","0","0","0","1","0","-0.2","",NA
"Yohan Ramírez","25","do DO","R","R","6' 4""","212","May 6, 1995","1st","16","0","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",NA
"Casey Sadler","29","us US","R","R","6' 3""","223","Jul 13, 1990","5","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",NA
"Kyle Seager","32","us US","L","R","6' 0""","216","Nov 3, 1987","10","60","59","60","53","0","0","0","0","53","0","0","0","0","0","6","1","0","1.1","$19,500,000",NA
"Bryan Shaw","32","us US","B","R","6' 1""","225","Nov 8, 1987","10","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",NA
"Justus Sheffield","24","us US","L","L","5' 10""","224","May 13, 1996","3","10","10","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",NA
"Mallex Smith","27","us US","L","R","5' 9""","170","May 6, 1993","5","14","13","14","14","0","0","0","0","0","0","0","3","12","14","0","0","0","-0.5","$2,350,000",NA
"Dee Strange-Gordon","32","us US","L","R","5' 11""","166","Apr 22, 1988","10","33","22","33","28","0","0","0","13","0","3","13","0","0","13","2","1","7","-0.5","$13,800,000",NA
"Erik Swanson","26","us US","R","R","6' 3""","225","Sep 4, 1993","2","9","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","",NA
"Luis Torrens","24","ve VE","R","R","6' 0""","217","May 2, 1996","3","18","16","18","17","0","17","0","0","0","0","0","0","0","0","1","2","0","0.0","",NA
"Daniel Vogelbach","27","us US","L","R","6' 0""","270","Dec 17, 1992","5","18","17","18","0","0","0","0","0","0","0","0","0","0","0","17","1","0","-0.5","",NA
"Taijuan Walker","27","us US","R","R","6' 4""","235","Aug 13, 1992","8","5","5","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$2,000,000",NA
"Donovan Walton","26","us US","L","R","5' 9""","190","May 25, 1994","2","5","4","5","5","0","0","0","1","0","4","0","0","0","0","0","0","0","-0.1","",NA
"Evan White","24","us US","R","L","6' 1""","219","Apr 26, 1996","1st","54","52","54","54","0","0","54","0","0","0","0","0","0","0","0","1","0","0.1","",NA
"Taylor Williams","28","us US","B","R","5' 11""","185","Jul 21, 1991","4","14","0","1","14","14","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",NA
"Jimmy Yacabonis","28","us US","R","R","6' 3""","225","Mar 21, 1992","4","2","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",NA
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",NA
