"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Dan Altavilla","27","us US","R","R","5' 11""","220","Sep 8, 1992","5","13","0","1","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",NA
"Braden Bishop","26","us US","R","R","6' 1""","178","Aug 22, 1993","2","12","9","12","12","0","0","0","0","0","0","2","3","8","12","0","0","0","0.1","",NA
"Brandon Brennan","28","us US","R","R","6' 4""","207","Jul 26, 1991","2","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",NA
"Nestor Cortes","25","cu CU","R","L","5' 11""","210","Dec 10, 1994","3","5","1","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",NA
"J.P. Crawford","25","us US","L","R","6' 2""","202","Jan 11, 1995","4","53","53","53","53","0","0","0","0","0","53","0","0","0","0","0","0","0","1.6","",NA
"Justin Dunn","24","us US","R","R","6' 2""","209","Sep 22, 1995","2","10","10","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",NA
"Carl Edwards Jr.","28","us US","R","R","6' 3""","165","Sep 3, 1991","6","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$950,000",NA
"Phil Ervin","27","us US","R","R","5' 10""","207","Jul 15, 1992","4","18","13","18","18","0","0","0","0","0","0","0","0","18","18","0","3","0","0.2","",NA
"Aaron Fletcher","24","us US","L","L","6' 0""","220","Feb 25, 1996","1st","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",NA
"Jake Fraley","25","us US","L","L","6' 0""","206","May 25, 1995","2","7","7","7","7","0","0","0","0","0","0","1","0","6","7","0","0","0","0.0","",NA
"Ty France","25","us US","R","R","5' 11""","215","Jul 13, 1994","2","23","23","23","14","0","0","0","10","4","0","0","0","0","0","9","0","0","0.5","",NA
"Seth Frankoff","31","us US","R","R","6' 5""","206","Aug 27, 1988","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",NA
"Joey Gerber","23","us US","R","R","6' 4""","212","May 3, 1997","1st","17","0","0","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",NA
"Marco Gonzales","28","us US","L","L","6' 1""","205","Feb 16, 1992","6","11","11","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$1,000,000",NA
"Kendall Graveman","29","us US","R","R","6' 2""","200","Dec 21, 1990","6","11","2","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$1,500,000",NA
"Zac Grotz","27","us US","R","R","6' 2""","195","Feb 17, 1993","2","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",NA
"Taylor Guilbeau","27","us US","L","L","6' 4""","187","May 12, 1993","2","8","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",NA
"Sam Haggerty","26","us US","B","R","5' 11""","175","May 26, 1994","2","13","13","13","12","0","0","0","0","1","0","10","0","1","11","1","0","0","0.2","",NA
"Yoshihisa Hirano","36","jp JP","R","R","6' 1""","185","Mar 8, 1984","3","13","0","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$1,600,000",NA
"Joe Hudson","29","us US","R","R","5' 11""","210","May 21, 1991","3","9","6","9","9","0","9","0","0","0","0","0","0","0","0","0","0","0","-0.2","",NA
"Yusei Kikuchi","29","jp JP","L","L","6' 0""","210","Jun 17, 1991","2","9","9","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$16,000,000",NA
"Brady Lail","26","us US","R","R","6' 2""","200","Aug 9, 1993","2","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",NA
"Kyle Lewis","24","us US","R","R","6' 4""","222","Jul 13, 1995","2","58","57","58","57","0","0","0","0","0","0","0","57","0","57","1","0","1","1.6","",NA
"Walker Lockett","26","us US","R","R","6' 5""","225","May 3, 1994","3","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",NA
"Shed Long Jr.","24","us US","L","R","5' 8""","184","Aug 22, 1995","2","34","31","34","33","0","0","0","32","0","0","1","0","0","1","1","3","0","-0.1","",NA
"Tim Lopes","26","us US","R","R","5' 10""","180","Jun 24, 1994","2","46","38","46","30","1","0","0","0","1","0","17","0","12","28","17","7","0","-0.3","",NA
