"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Tyler Anderson","31","us US","L","L","6' 2""","220","Dec 30, 1989","6","13","13","1","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Matt Andriese","31","us US","R","R","6' 2""","215","Aug 28, 1989","7","8","0","2","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Jake Bauers","25","us US","L","L","5' 11""","213","Oct 6, 1995","3","72","48","72","55","0","0","13","0","0","0","21","0","23","43","8","19","1","0.0","",""
"Braden Bishop","27","us US","R","R","6' 1""","178","Aug 22, 1993","3","8","1","8","8","0","0","0","0","0","0","8","0","0","8","0","0","1","0.0","",""
"Eric Campbell","34","us US","R","R","6' 3""","215","Apr 9, 1987","4","4","3","4","3","0","0","1","0","2","0","0","0","0","0","0","1","0","0.0","",""
"Diego Castillo","27","do DO","R","R","6' 3""","268","Jan 18, 1994","4","24","0","1","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"JT Chargois","30","us US","B","R","6' 3""","200","Dec 3, 1990","4","31","0","4","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$570,500",""
"J.P. Crawford","26","us US","L","R","6' 2""","202","Jan 11, 1995","5","160","159","160","160","0","0","0","0","0","160","0","0","0","0","0","0","0","3.8","$2,050,000",""
"Sean Doolittle","34","us US","L","L","6' 2""","218","Sep 26, 1986","10","11","0","1","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Robert Dugger","25","us US","R","R","6' 0""","198","Jul 3, 1995","3","12","4","1","12","12","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"Justin Dunn","25","us US","R","R","6' 2""","209","Sep 22, 1995","3","11","11","2","11","11","0","0","0","0","0","0","0","0","0","0","0","0","1.1","",""
"Aaron Fletcher","25","us US","L","L","6' 0""","220","Feb 25, 1996","2","4","0","2","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Chris Flexen","26","us US","R","R","6' 3""","220","Jul 1, 1994","4","31","31","2","31","31","0","0","0","0","0","0","0","0","0","0","0","0","3.4","$1,700,000",""
"Jake Fraley","26","us US","L","L","6' 0""","206","May 25, 1995","3","78","60","78","69","0","0","0","0","0","0","51","16","6","69","7","17","0","1.6","",""
"Ty France","26","us US","R","R","5' 11""","215","Jul 13, 1994","3","152","151","152","127","0","0","106","21","5","0","0","0","0","0","26","1","0","4.4","",""
"Logan Gilbert","24","us US","R","R","6' 6""","215","May 5, 1997","1st","24","24","0","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"José Godoy","26","ve VE","L","R","5' 11""","200","Oct 13, 1994","1st","16","12","16","14","0","14","0","0","0","0","0","0","0","0","1","1","0","-0.1","",""
"Marco Gonzales","29","us US","L","L","6' 1""","205","Feb 16, 1992","7","25","25","2","25","25","0","0","0","0","0","0","0","0","0","0","0","0","2.1","$5,250,000",""
"Kendall Graveman","30","us US","R","R","6' 2""","200","Dec 21, 1990","7","30","0","3","30","30","0","0","0","0","0","0","0","0","0","0","0","0","1.6","$1,250,000",""
"Sam Haggerty","27","us US","B","R","5' 11""","175","May 26, 1994","3","35","23","35","31","0","0","0","4","0","0","20","3","6","28","2","5","2","-0.3","",""
"Mitch Haniger","30","us US","R","R","6' 2""","214","Dec 23, 1990","5","157","157","157","123","0","0","0","0","0","0","0","0","123","123","34","0","0","3.1","$3,010,000",""
"Jarred Kelenic","21","us US","L","L","6' 1""","206","Jul 16, 1999","1st","93","91","93","93","0","0","0","0","0","0","14","77","3","93","0","1","0","-1.8","",""
"Yusei Kikuchi","30","jp JP","L","L","6' 0""","210","Jun 17, 1991","3","29","29","1","29","29","0","0","0","0","0","0","0","0","0","0","0","0","1.6","$17,000,000","All-Star"
"Brady Lail","27","us US","R","R","6' 2""","200","Aug 9, 1993","3","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$100,000",""
"Kyle Lewis","25","us US","R","R","6' 4""","222","Jul 13, 1995","3","36","36","36","34","0","0","0","0","0","0","0","34","0","34","2","0","0","0.5","",""
"Shed Long Jr.","25","us US","L","R","5' 8""","184","Aug 22, 1995","3","34","31","34","32","0","0","0","10","0","0","25","0","0","25","1","2","0","-0.2","",""
"Nick Margevicius","25","us US","L","L","6' 5""","225","Jun 18, 1996","3","5","3","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"José Marmolejos","28","us US","L","L","6' 2""","239","Jan 2, 1993","2","41","31","41","27","0","0","14","0","0","0","11","0","2","13","5","9","0","-0.7","",""
"Jack Mayfield","30","us US","R","R","5' 11""","190","Sep 30, 1990","3","12","9","11","12","1","0","0","9","2","0","0","0","0","0","0","0","0","-0.2","",""
"Darren McCaughan","25","us US","R","R","6' 1""","200","Mar 18, 1996","1st","2","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Keynan Middleton","27","us US","R","R","6' 3""","230","Sep 12, 1993","5","32","1","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$800,000",""
"Wyatt Mills","26","us US","R","R","6' 4""","220","Jan 25, 1995","1st","11","0","3","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Anthony Misiewicz","26","us US","R","L","6' 1""","196","Nov 1, 1994","2","66","0","3","66","66","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Rafael Montero","30","do DO","R","R","6' 0""","190","Oct 17, 1990","7","40","0","1","40","40","0","0","0","0","0","0","0","0","0","0","0","0","-1.8","$2,250,000",""
"Dylan Moore","28","us US","R","R","6' 0""","205","Aug 2, 1992","3","126","101","126","125","0","0","0","66","10","4","48","0","9","57","2","11","3","0.9","",""
"Andrés Muñoz","22","mx MX","R","R","6' 2""","222","Jan 16, 1999","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Tom Murphy","30","us US","R","R","6' 1""","206","Apr 3, 1991","6","97","86","97","88","0","88","0","0","0","0","0","0","0","0","4","8","2","0.9","$875,000",""
"Ljay Newsome","24","us US","R","R","5' 11""","210","Nov 8, 1996","2","7","1","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Vinny Nittoli","30","us US","R","R","6' 1""","210","Nov 11, 1990","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Jacob Nottingham","26","us US","R","R","6' 2""","220","Apr 3, 1995","4","10","8","10","4","0","0","4","0","0","0","0","0","0","0","5","2","0","-0.2","",""
"Kevin Padlo","24","us US","R","R","5' 11""","210","Jul 15, 1996","1st","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","",""
"James Paxton","32","ca CA","L","L","6' 4""","212","Nov 6, 1988","9","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$8,500,000",""
"Cal Raleigh","24","us US","B","R","6' 3""","235","Nov 26, 1996","1st","47","36","47","43","0","43","0","0","0","0","0","0","0","0","0","6","0","-0.5","",""
"Yohan Ramírez","26","do DO","R","R","6' 4""","212","May 6, 1995","2","25","0","4","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Yacksel Ríos","28","pr PR","R","R","6' 3""","215","Jun 27, 1993","5","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Casey Sadler","30","us US","R","R","6' 3""","223","Jul 13, 1990","6","42","0","1","42","42","0","0","0","0","0","0","0","0","0","0","0","0","2.1","",""
"Héctor Santiago","33","us US","R","L","6' 0""","215","Dec 16, 1987","10","13","1","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Kyle Seager","33","us US","L","R","6' 0""","216","Nov 3, 1987","11","159","157","159","149","0","0","0","0","149","0","0","0","0","0","10","2","0","2.0","$18,500,000",""
"Paul Sewald","31","us US","R","R","6' 3""","219","May 26, 1990","5","62","0","6","62","62","0","0","0","0","0","0","0","0","0","0","0","0","1.6","",""
"Justus Sheffield","25","us US","L","L","5' 10""","224","May 13, 1996","4","21","15","2","21","21","0","0","0","0","0","0","0","0","0","0","0","0","-1.9","",""
"Joe Smith","37","us US","R","R","6' 2""","211","Mar 22, 1984","14","23","0","0","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Drew Steckenrider","30","us US","R","R","6' 4""","235","Jan 10, 1991","4","62","0","4","62","62","0","0","0","0","0","0","0","0","0","0","0","0","2.5","",""
"Erik Swanson","27","us US","R","R","6' 3""","225","Sep 4, 1993","3","33","2","4","33","33","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Domingo Tapia","29","do DO","R","R","6' 3""","263","Aug 4, 1991","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Dillon Thomas","28","us US","L","L","6' 1""","215","Dec 10, 1992","1st","4","2","4","4","0","0","0","0","0","0","2","1","1","4","0","1","0","0.0","",""
"Abraham Toro","24","ca CA","B","R","6' 0""","223","Dec 20, 1996","3","60","59","60","59","0","0","0","58","2","0","0","0","0","0","0","1","0","0.9","",""
"Luis Torrens","25","ve VE","R","R","6' 0""","217","May 2, 1996","4","108","93","108","42","0","35","5","0","2","0","0","0","0","0","59","12","0","1.0","",""
"Taylor Trammell","23","us US","L","L","6' 2""","220","Sep 13, 1997","1st","51","48","51","50","0","0","0","0","0","0","14","37","0","50","0","0","1","-0.3","",""
"Will Vest","26","us US","R","R","6' 0""","180","Jun 6, 1995","1st","32","0","1","32","32","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Donovan Walton","27","us US","L","R","5' 9""","190","May 25, 1994","3","24","18","24","21","0","0","0","14","2","2","5","0","0","5","2","2","2","0.0","",""
"Ryan Weber","30","us US","R","R","6' 1""","175","Aug 12, 1990","7","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Evan White","25","us US","R","L","6' 1""","219","Apr 26, 1996","2","30","28","30","30","0","0","30","0","0","0","0","0","0","0","0","0","0","-0.6","$1,300,000",""
"Daniel Zamora","28","us US","L","L","6' 3""","195","Apr 15, 1993","3","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
