"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Raúl Alcántara","24","do DO","R","R","6' 4""","220","Dec 4, 1992","2","8","4","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$535,000",""
"Yonder Alonso","30","cu CU","L","R","6' 1""","230","Apr 8, 1987","8","100","87","100","96","0","0","96","0","0","0","0","0","0","0","1","6","0","1.7","$4,000,000","All-Star"
"John Axford","34","ca CA","R","R","6' 5""","234","Apr 1, 1983","9","22","0","3","22","22","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$5,500,000",""
"Franklin Barreto","21","ve VE","R","R","5' 8""","208","Feb 27, 1996","1st","25","16","25","20","0","0","0","10","0","11","0","0","0","0","2","3","3","-0.1","",""
"Paul Blackburn","23","us US","R","R","6' 1""","196","Dec 4, 1993","1st","10","10","1","10","10","0","0","0","0","0","0","0","0","0","0","0","0","1.4","",""
"Michael Brady","30","us US","R","R","6' 0""","195","Mar 21, 1987","1st","16","0","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Jaycob Brugman","25","us US","L","L","6' 0""","190","Jan 18, 1992","1st","48","40","48","43","0","0","0","0","0","0","4","40","1","43","0","6","1","-0.4","",""
"Mark Canha","28","us US","R","R","6' 2""","209","Feb 15, 1989","3","57","46","57","53","0","0","3","0","0","0","20","19","22","53","2","8","0","-0.8","$545,000",""
"Santiago Casilla","36","do DO","R","R","6' 0""","210","Jul 25, 1980","14","63","0","5","63","63","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$5,000,000",""
"Simón Castro","29","do DO","R","R","6' 5""","230","Apr 9, 1988","3","26","0","3","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Matt Chapman","24","us US","R","R","6' 0""","215","Apr 28, 1993","1st","84","83","84","84","0","0","0","0","84","0","0","0","0","0","0","0","0","3.2","",""
"Jharel Cotton","25","vi VI","R","R","5' 11""","200","Jan 19, 1992","2","24","24","1","24","24","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$535,000",""
"Danny Coulombe","27","us US","L","L","5' 10""","190","Oct 26, 1989","4","72","0","7","72","72","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$537,500",""
"Khris Davis","29","us US","R","R","5' 11""","205","Dec 21, 1987","5","153","152","153","116","0","0","0","0","0","0","116","0","0","116","37","1","0","2.7","$5,000,000",""
"Rajai Davis","36","us US","R","R","5' 10""","195","Oct 19, 1980","12","100","73","100","98","0","0","0","0","0","0","19","79","3","98","0","15","2","0.4","$6,000,000",""
"Jaff Decker","27","us US","L","L","5' 9""","190","Feb 23, 1990","5","17","15","17","15","0","0","0","0","0","0","1","12","4","15","0","2","0","-0.3","",""
"Sean Doolittle","30","us US","L","L","6' 2""","218","Sep 26, 1986","6","23","0","0","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Ryan Dull","27","us US","R","R","5' 9""","185","Oct 2, 1989","3","49","0","3","49","49","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","$540,000",""
"Dustin Garneau","29","us US","R","R","6' 2""","205","Aug 13, 1987","3","19","15","19","18","0","18","0","0","0","0","0","0","0","0","0","1","1","0.3","",""
"Daniel Gossett","24","us US","R","R","6' 0""","185","Nov 13, 1992","1st","18","18","3","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Kendall Graveman","26","us US","R","R","6' 2""","200","Dec 21, 1990","4","19","19","2","19","19","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$545,000",""
"Sonny Gray","27","us US","R","R","5' 10""","190","Nov 7, 1989","5","16","16","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$3,575,000",""
"Jesse Hahn","27","us US","R","R","6' 5""","205","Jul 30, 1989","4","14","13","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Chris Hatcher","32","us US","B","R","6' 1""","200","Jan 12, 1985","8","23","0","1","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Ryon Healy","25","us US","R","R","6' 4""","230","Jan 10, 1992","2","149","146","149","69","0","0","39","0","34","0","0","0","0","0","78","3","0","0.7","$537,500",""
"Liam Hendriks","28","au AU","R","R","6' 0""","235","Feb 10, 1989","7","70","0","4","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$1,100,000",""
"Matt Joyce","32","us US","L","R","6' 2""","194","Aug 3, 1984","10","141","123","141","133","0","0","0","0","0","0","24","1","115","133","2","15","1","2.0","$5,000,000",""
"Ryan LaMarre","28","us US","R","L","6' 1""","215","Nov 21, 1988","3","3","2","3","3","0","0","0","0","0","0","0","3","0","3","0","1","0","-0.1","",""
"Ryan Lavarnway","29","us US","R","R","6' 3""","239","Aug 7, 1987","6","6","4","6","5","0","5","0","0","0","0","0","0","0","0","0","1","0","0.0","",""
"Jed Lowrie","33","us US","B","R","6' 0""","180","Apr 17, 1984","10","153","146","153","137","0","0","0","136","1","0","0","0","0","0","14","6","0","3.6","$6,500,000",""
"Ryan Madson","36","us US","L","R","6' 6""","234","Aug 28, 1980","12","40","0","0","40","40","0","0","0","0","0","0","0","0","0","0","0","0","1.5","",""
"Sean Manaea","25","us US","L","L","6' 5""","245","Feb 1, 1992","2","29","29","2","29","29","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$537,500",""
"Bruce Maxwell","26","de DE","L","R","6' 1""","250","Dec 20, 1990","2","76","62","76","74","0","74","0","0","0","0","0","0","0","0","0","11","0","0.1","",""
