"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Armando Benítez","30","do DO","R","R","6' 4""","180","Nov 3, 1972","10","15","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Willie Bloomquist","25","us US","R","R","5' 11""","200","Nov 27, 1977","2","89","50","89","72","0","0","3","7","37","18","10","0","1","11","12","9","16","0.6","$300,000",""
"Bret Boone","34","us US","R","R","5' 10""","180","Apr 6, 1969","12","159","159","159","158","0","0","0","158","0","0","0","0","0","0","0","0","0","5.9","$8,000,000","All-Star"
"Pat Borders","40","us US","R","R","6' 2""","190","May 14, 1963","15","12","4","12","9","0","7","0","0","2","0","0","0","0","0","1","2","2","-0.2","$500,000",""
"Mike Cameron","30","us US","R","R","6' 2""","210","Jan 8, 1973","9","147","145","147","147","0","0","0","0","0","0","0","147","0","147","0","1","0","4.8","$7,416,667",""
"Giovanni Carrara","35","ve VE","R","R","6' 2""","225","Mar 4, 1968","7","23","0","1","23","23","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$400,000",""
"Jeff Cirillo","33","us US","R","R","6' 2""","190","Sep 23, 1969","10","87","76","87","86","0","0","1","0","85","0","0","0","0","0","1","0","2","-1.4","$6,725,000",""
"Greg Colbrunn","33","us US","R","R","6' 0""","190","Jul 26, 1969","12","22","16","22","14","0","0","14","0","0","0","0","0","0","0","4","5","0","0.1","$750,000",""
"Ben Davis","26","us US","B","R","6' 4""","195","Mar 10, 1977","6","80","66","80","73","0","73","0","0","0","0","0","0","0","0","1","7","0","0.8","$1,000,000",""
"Ryan Franklin","30","us US","R","R","6' 3""","190","Mar 5, 1973","4","32","32","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","3.3","$425,000",""
"Freddy García","26","ve VE","R","R","6' 4""","250","Oct 6, 1976","5","33","33","1","33","33","0","0","0","0","0","0","0","0","0","0","0","0","1.3","$6,875,000",""
"Carlos Guillén","27","ve VE","B","R","6' 1""","215","Sep 30, 1975","6","109","103","109","108","0","0","0","0","32","76","0","0","0","0","1","0","0","2.5","$2,500,000",""
"Shigetoshi Hasegawa","34","jp JP","R","R","5' 11""","160","Aug 1, 1968","7","63","0","3","63","63","0","0","0","0","0","0","0","0","0","0","0","0","3.2","$1,800,000","All-Star"
"Aaron Looper","26","us US","R","R","6' 2""","180","Sep 7, 1976","1st","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"John Mabry","32","us US","L","R","6' 4""","195","Oct 17, 1970","10","64","23","64","31","0","0","9","0","0","0","8","0","14","22","12","28","1","0.0","$600,000",""
"Edgar Martínez HOF","40","us US","R","R","6' 0""","175","Jan 2, 1963","17","145","138","145","0","0","0","0","0","0","0","0","0","0","0","140","7","0","3.3","$4,000,000","All-Star"
"Julio Mateo","25","do DO","R","R","5' 11""","235","Aug 2, 1977","2","50","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","1.4","$302,500",""
"Mark McLemore","38","us US","B","R","5' 11""","175","Oct 4, 1964","18","99","80","99","84","0","0","0","6","29","38","16","0","0","16","11","7","6","-0.5","$3,150,000",""
"Gil Meche","24","us US","R","R","6' 3""","180","Sep 8, 1978","3","32","32","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$325,000",""
"Chad Meyers","27","us US","R","R","6' 0""","190","Aug 8, 1975","4","9","0","9","3","0","0","0","0","0","0","3","0","0","3","6","0","6","-0.1","",""
"Jamie Moyer","40","us US","L","L","6' 0""","170","Nov 18, 1962","17","33","33","2","33","33","0","0","0","0","0","0","0","0","0","0","0","0","4.8","$6,500,000","All-Star"
"Jeff Nelson","36","us US","R","R","6' 8""","225","Nov 17, 1966","12","46","0","4","46","46","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$3,983,333",""
"John Olerud","34","us US","L","L","6' 5""","205","Aug 5, 1968","15","152","143","152","152","0","0","152","0","0","0","0","0","0","0","0","2","0","2.7","$7,700,000",""
"Joel Piñeiro","24","pr PR","R","R","6' 0""","200","Sep 25, 1978","4","32","32","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","3.0","$440,000",""
"J.J. Putz","26","us US","R","R","6' 5""","250","Feb 22, 1977","1st","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Arthur Rhodes","33","us US","L","L","6' 2""","220","Oct 24, 1969","13","67","0","4","67","67","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$3,500,000",""
"Rey Sánchez","35","pr PR","R","R","5' 10""","180","Oct 5, 1967","13","46","44","46","46","0","0","0","0","0","46","0","0","0","0","0","0","0","1.1","",""
"Kazuhiro Sasaki","35","jp JP","R","R","6' 4""","209","Feb 22, 1968","4","35","0","2","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$8,000,000",""
"Rafael Soriano","23","do DO","R","R","6' 4""","230","Dec 19, 1979","2","40","0","1","40","40","0","0","0","0","0","0","0","0","0","0","0","0","1.9","",""
"Jamal Strong","24","us US","R","R","5' 10""","180","Aug 5, 1978","1st","12","0","12","2","0","0","0","0","0","0","0","2","0","2","7","1","9","-0.1","",""
"Ichiro Suzuki","29","jp JP","L","R","5' 11""","175","Oct 22, 1973","3","159","156","159","159","0","0","0","0","0","0","0","0","159","159","0","2","0","5.6","$4,666,667","All-Star"
"Brian Sweeney","29","us US","R","R","6' 2""","200","Jun 13, 1974","1st","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Aaron Taylor","25","us US","R","R","6' 7""","230","Aug 20, 1977","2","10","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Luis Ugueto","24","ve VE","B","R","6' 0""","195","Feb 15, 1979","2","12","0","12","6","0","0","0","4","1","1","0","0","0","0","3","2","6","0.1","",""
"Matt White","25","us US","R","L","6' 1""","180","Aug 19, 1977","1st","3","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Dan Wilson","34","us US","R","R","6' 3""","190","Mar 25, 1969","12","96","92","96","96","0","96","0","0","0","0","0","0","0","0","0","0","0","0.2","$3,500,000",""
"Randy Winn","29","us US","B","R","6' 2""","175","Jun 9, 1974","6","157","154","157","157","0","0","0","0","0","0","139","20","4","157","0","0","0","3.5","$3,300,000",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
