"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Jason Anderson","26","us US","L","R","6' 0""","188","Jun 9, 1979","3","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Colter Bean","28","us US","R","R","6' 6""","255","Jan 16, 1977","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Mark Bellhorn","30","us US","B","R","6' 1""","195","Aug 23, 1974","8","9","3","9","7","0","0","0","2","4","2","0","0","0","0","0","1","1","0.0","",""
"Kevin Brown","40","us US","R","R","6' 4""","195","Mar 14, 1965","19","13","13","1","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$15,714,286",""
"Melky Cabrera","20","do DO","B","L","5' 10""","210","Aug 11, 1984","1st","6","6","6","6","0","0","0","0","0","0","0","6","0","6","0","0","0","-0.5","",""
"Robinson Canó","22","do DO","L","R","6' 0""","228","Oct 22, 1982","1st","132","130","132","131","0","0","0","131","0","0","0","0","0","0","0","2","0","0.8","",""
"Shawn Chacón","27","us US","R","R","6' 3""","212","Dec 23, 1977","5","14","12","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","3.1","",""
"Bubba Crosby","28","us US","L","L","5' 11""","180","Aug 11, 1976","3","76","23","76","67","0","0","0","0","0","0","4","41","23","67","4","2","19","-0.4","$322,950",""
"Jorge De Paula","26","do DO","R","R","6' 1""","160","Nov 10, 1978","3","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Alan Embree","35","us US","L","L","6' 2""","185","Jan 23, 1970","12","24","0","0","24","24","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Félix Escalona","26","ve VE","R","R","6' 0""","185","Mar 12, 1979","4","10","3","10","10","0","0","1","1","3","5","0","0","0","0","0","0","1","0.4","",""
"John Flaherty","37","us US","R","R","6' 1""","195","Oct 21, 1967","14","47","39","47","46","0","45","1","0","0","0","0","0","0","0","0","1","0","-0.5","$800,000",""
"Wayne Franklin","31","us US","L","L","6' 2""","195","Mar 9, 1974","6","13","0","1","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Jason Giambi","34","us US","L","R","6' 3""","240","Jan 8, 1971","11","139","135","139","78","0","0","78","0","0","0","0","0","0","0","60","4","0","4.6","$13,428,571",""
"Tom Gordon","37","us US","R","R","5' 9""","160","Nov 18, 1967","17","79","0","5","79","79","0","0","0","0","0","0","0","0","0","0","0","0","3.0","$3,750,000",""
"Alex Graman","27","us US","L","L","6' 4""","210","Nov 17, 1977","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Buddy Groom","39","us US","L","L","6' 2""","200","Jul 10, 1965","14","24","0","3","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Sean Henn","24","us US","R","L","6' 3""","235","Apr 23, 1981","1st","3","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"Derek Jeter HOF","31","us US","R","R","6' 3""","195","Jun 26, 1974","11","159","158","159","157","0","0","0","0","0","157","0","0","0","0","1","0","1","3.8","$19,600,000",""
"Randy Johnson HOF","41","us US","R","L","6' 10""","225","Sep 10, 1963","18","34","34","3","34","34","0","0","0","0","0","0","0","0","0","0","0","0","5.7","$16,000,000",""
"Russ Johnson","32","us US","R","R","5' 10""","185","Feb 22, 1973","7","22","2","22","18","0","0","7","1","8","0","0","0","3","3","3","3","5","-0.2","",""
"Steve Karsay","33","us US","R","R","6' 3""","210","Mar 24, 1972","10","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$6,000,000",""
"Matt Lawton","33","us US","L","R","5' 10""","180","Nov 30, 1971","11","21","14","21","19","0","0","0","0","0","0","8","0","12","19","0","0","4","-0.4","",""
"Al Leiter","39","us US","L","L","6' 2""","200","Oct 23, 1965","19","16","10","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Tino Martinez","37","us US","L","R","6' 2""","205","Dec 7, 1967","16","131","78","131","122","0","0","122","0","0","0","0","0","0","0","1","11","4","1.5","$2,750,000",""
"Hideki Matsui","31","jp JP","L","R","6' 2""","210","Jun 12, 1974","3","162","161","162","142","0","0","0","0","0","0","115","28","4","142","19","1","0","4.5","$8,000,000",""
"Darrell May","33","us US","L","L","6' 2""","190","Jun 13, 1972","7","2","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Ramiro Mendoza","33","pa PA","R","R","6' 2""","154","Jun 15, 1972","10","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Mike Mussina HOF","36","us US","L","R","6' 2""","185","Dec 8, 1968","15","30","30","1","30","30","0","0","0","0","0","0","0","0","0","0","0","0","3.4","$19,000,000",""
"Wil Nieves","27","pr PR","R","R","5' 11""","190","Sep 25, 1977","2","3","0","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Carl Pavano","29","us US","R","R","6' 5""","265","Jan 8, 1976","8","17","17","3","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$9,000,000",""
"Andy Phillips","28","us US","R","R","6' 0""","205","Apr 6, 1977","2","27","8","27","20","0","0","19","0","1","0","1","0","0","1","6","3","3","-0.1","$317,200",""
"Jorge Posada","34","pr PR","B","R","6' 2""","215","Aug 17, 1970","11","142","126","142","133","0","133","0","0","0","0","0","0","0","0","3","16","0","4.4","$11,000,000",""
"Scott Proctor","28","us US","R","R","6' 1""","195","Jan 2, 1977","2","29","1","0","29","29","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Paul Quantrill","36","ca CA","L","R","6' 1""","175","Nov 3, 1968","14","22","0","3","22","22","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$3,000,000",""
"Tim Redding","27","us US","R","R","5' 11""","230","Feb 12, 1978","5","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Kevin Reese","27","us US","L","L","5' 11""","195","Mar 11, 1978","1st","2","1","2","2","0","0","0","0","0","0","1","1","0","2","0","0","1","0.0","",""
"Mariano Rivera HOF","35","pa PA","R","R","6' 2""","195","Nov 29, 1969","11","71","0","5","71","71","0","0","0","0","0","0","0","0","0","0","0","0","4.0","$10,500,000","All-Star"
"Alex Rodriguez","29","us US","R","R","6' 3""","230","Jul 27, 1975","12","162","162","162","161","0","0","0","0","161","3","0","0","0","0","1","0","0","9.4","$26,000,000","All-Star"
"Félix Rodríguez","32","do DO","R","R","6' 1""","170","Sep 9, 1972","10","34","0","1","34","34","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$3,150,000",""
"Rey Sánchez","37","pr PR","R","R","5' 10""","180","Oct 5, 1967","15","23","10","23","19","0","0","0","9","1","10","0","0","0","0","2","5","2","-0.4","$600,000",""
"Gary Sheffield","36","us US","R","R","5' 11""","190","Nov 18, 1968","18","154","153","154","131","0","0","0","0","0","0","0","0","131","131","23","1","0","4.1","$13,000,000","All-Star"
"Rubén Sierra","39","pr PR","B","R","6' 1""","175","Oct 6, 1965","19","61","36","61","18","0","0","0","0","0","0","8","0","10","18","30","24","1","-0.7","$1,500,000",""
