"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Willy Aybar","27","do DO","B","R","5' 11""","205","Mar 9, 1983","5","100","65","100","18","0","0","3","9","7","0","0","0","0","0","72","30","0","0.1","$1,350,000",""
"Rocco Baldelli","28","us US","R","R","6' 4""","190","Sep 25, 1981","7","10","7","10","4","0","0","0","0","0","0","0","0","4","4","5","3","0","0.0","",""
"Grant Balfour","32","au AU","R","R","6' 2""","200","Dec 30, 1977","7","57","0","8","57","57","0","0","0","0","0","0","0","0","0","0","0","0","1.2","$2,050,000",""
"Jason Bartlett","30","us US","R","R","6' 0""","190","Oct 30, 1979","7","135","124","135","131","0","0","0","0","0","131","0","0","0","0","2","5","5","2.5","$4,000,000",""
"Joaquín Benoit","32","do DO","R","R","6' 4""","250","Jul 26, 1977","9","63","0","8","63","63","0","0","0","0","0","0","0","0","0","0","0","0","2.2","",""
"Hank Blalock","29","us US","L","R","6' 1""","192","Nov 21, 1980","9","26","15","26","5","0","0","1","0","2","0","0","0","2","2","14","11","0","0.1","",""
"Reid Brignac","24","us US","L","R","6' 2""","197","Jan 16, 1986","3","113","75","113","108","0","0","0","68","0","50","0","0","2","2","1","27","2","2.5","$403,700",""
"Pat Burrell","33","us US","R","R","6' 4""","235","Oct 10, 1976","11","24","24","24","0","0","0","0","0","0","0","0","0","0","0","24","0","0","-0.3","$9,000,000",""
"Randy Choate","34","us US","L","L","6' 1""","205","Sep 5, 1975","10","85","0","3","85","85","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$700,000",""
"Lance Cormier","29","us US","R","R","6' 1""","200","Aug 19, 1980","7","60","0","6","60","60","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$1,200,000",""
"Carl Crawford","28","us US","L","L","6' 2""","230","Aug 5, 1981","9","154","148","154","147","0","0","0","0","0","0","147","0","0","147","3","2","3","7.0","$10,000,000","All-Star"
"Wade Davis","24","us US","R","R","6' 5""","225","Sep 7, 1985","2","29","29","1","29","29","0","0","0","0","0","0","0","0","0","0","0","0","1.3","$404,900",""
"Mike Ekstrom","26","us US","R","R","6' 0""","190","Aug 30, 1983","3","15","0","2","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$402,700",""
"Matt Garza","26","us US","R","R","6' 4""","220","Nov 26, 1983","5","33","32","2","33","33","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$3,350,000",""
"Brad Hawpe","31","us US","L","L","6' 2""","190","Jun 22, 1979","7","15","10","15","6","0","0","3","0","0","0","0","0","3","3","8","5","0","0.0","",""
"Jeremy Hellickson","23","us US","R","R","6' 1""","190","Apr 8, 1987","1st","10","4","1","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"John Jaso","26","us US","L","R","6' 2""","202","Sep 19, 1983","2","109","88","109","96","0","96","1","0","0","0","0","0","0","0","10","17","0","2.6","",""
"Desmond Jennings","23","us US","R","R","6' 2""","210","Oct 30, 1986","1st","17","5","17","10","0","0","0","0","0","0","2","4","5","10","3","2","8","0.0","",""
"Dan Johnson","30","us US","L","R","6' 2""","210","Aug 10, 1979","5","40","33","40","20","0","0","13","0","6","0","3","0","0","3","18","7","0","0.2","",""
"Matt Joyce","25","us US","L","R","6' 2""","194","Aug 3, 1984","3","77","63","77","63","0","0","0","0","0","0","13","0","52","63","11","13","1","1.9","$406,000",""
"Gabe Kapler","34","us US","R","R","6' 2""","190","Jul 31, 1975","12","59","37","59","50","0","0","0","0","0","0","12","2","39","50","5","14","4","-0.4","$1,054,000",""
"Evan Longoria","24","us US","R","R","6' 1""","213","Oct 7, 1985","3","151","151","151","151","0","0","0","0","151","0","0","0","0","0","0","0","0","8.2","$950,000","All-Star"
"Jake McGee","23","us US","L","L","6' 4""","229","Aug 6, 1986","1st","8","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Dioner Navarro","26","ve VE","B","R","5' 9""","215","Feb 9, 1984","7","48","36","48","46","0","46","0","0","0","0","0","0","0","0","1","4","0","0.0","$2,100,000",""
"Jeff Niemann","27","us US","R","R","6' 9""","285","Feb 28, 1983","3","30","29","3","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$1,032,000",""
"Carlos Peña","32","do DO","L","L","6' 2""","225","May 17, 1978","10","144","137","144","142","0","0","142","0","0","0","0","0","0","0","2","0","0","2.1","$10,125,000",""
"David Price","24","us US","L","L","6' 5""","215","Aug 26, 1985","3","32","31","4","32","32","0","0","0","0","0","0","0","0","0","0","0","0","4.7","$1,834,671","All-Star"
"Chad Qualls","31","us US","R","R","6' 4""","235","Aug 17, 1978","7","27","0","0","27","27","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Sean Rodríguez","25","us US","R","R","6' 0""","199","Apr 26, 1985","3","118","92","118","110","0","0","3","92","7","5","5","9","8","21","4","15","6","3.7","$405,500",""
"James Shields","28","us US","R","R","6' 3""","210","Dec 20, 1981","5","34","33","2","34","34","0","0","0","0","0","0","0","0","0","0","0","0","-1.5","$2,500,000",""
