"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Yonder Alonso","23","cu CU","L","R","6' 1""","230","Apr 8, 1987","1st","22","3","22","6","0","0","6","0","0","0","0","0","0","0","0","17","0","0.0","$500,000",""
"Bronson Arroyo","33","us US","R","R","6' 3""","185","Feb 24, 1977","11","34","33","32","33","33","0","0","0","0","0","0","0","0","0","0","0","1","2.4","$11,625,000",""
"Homer Bailey","24","us US","R","R","6' 4""","223","May 3, 1986","4","19","19","18","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$418,000",""
"Willie Bloomquist","32","us US","R","R","5' 11""","200","Nov 27, 1977","9","11","3","11","9","0","0","0","2","0","0","3","0","5","8","0","4","2","-0.1","",""
"Bill Bray","27","us US","L","L","6' 3""","215","Jun 5, 1983","4","35","0","35","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Jay Bruce","23","us US","L","L","6' 3""","230","Apr 3, 1987","3","148","133","148","146","0","0","0","0","0","0","0","0","146","146","0","9","0","4.7","$440,000",""
"Jared Burton","29","us US","R","R","6' 5""","225","Jun 2, 1981","4","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$810,000",""
"Orlando Cabrera","35","co CO","R","R","5' 10""","195","Nov 2, 1974","14","123","119","123","121","0","0","0","0","0","121","0","0","0","0","0","3","0","0.7","$2,020,000",""
"Miguel Cairo","36","ve VE","R","R","6' 1""","225","May 4, 1974","15","91","40","91","56","0","0","14","6","37","1","0","0","1","1","2","38","1","0.7","$500,000",""
"Aroldis Chapman","22","cu CU","L","L","6' 4""","235","Feb 28, 1988","1st","15","0","15","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$1,000,000",""
"Francisco Cordero","35","do DO","R","R","6' 3""","245","May 11, 1975","12","75","0","70","75","75","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$12,125,000",""
"Johnny Cueto","24","do DO","R","R","5' 11""","229","Feb 15, 1986","3","31","31","28","31","31","0","0","0","0","0","0","0","0","0","0","0","0","2.1","$445,000",""
